Year,Eventnumber,Reporteddate,Incidentoperationalarea,Gridreference(confirmed),Environmentalpollutionincident(yesorno),Airenvironmentimpactlevel,Landenvironmentimpactlevel,Waterenvironmentimpactlevel,Incidentcounty,Incidentdistrict,Incidentunitary,Value
2021,1966620,12/07/2021,"EastAnglia(Essex,NorfolkandSuffolk)",TM1494344985,Yes,Category1(Major),Category4(NoImpact),Category4(NoImpact),SuffolkCounty,IpswichDistrict,,317
2021,1966648,12/07/2021,Thames,SU9962566100,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),SurreyCounty,RunnymedeDistrict,,318
2021,1967061,13/07/2021,HertfordshireandNorthLondon,TQ2763286925,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,CamdenLondonBorough,,319
2021,1967140,13/07/2021,LincolnshireandNorthamptonshire,TF5686565937,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LincolnshireCounty,EastLindseyDistrict,,320
2021,1967181,13/07/2021,LincolnshireandNorthamptonshire,TA1038302009,Yes,Category3(Minor),Category2(Significant),Category4(NoImpact),LincolnshireCounty,WestLindseyDistrict,,321
2021,1972757,14/07/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SJ8285245991,Yes,Category1(Major),Category4(NoImpact),Category4(NoImpact),StaffordshireCounty,Newcastle-under-LymeDistrict,,322
2021,1967804,14/07/2021,Thames,TQ0343260986,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),SurreyCounty,WokingDistrict,,323
2021,1967952,15/07/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SK2532924200,Yes,Category3(Minor),Category2(Significant),Category3(Minor),StaffordshireCounty,EastStaffordshireDistrict,,324
2021,1968692,16/07/2021,Thames,SU0878095367,Yes,Category4(NoImpact),Category3(Minor),Category2(Significant),WiltshireCounty,NorthWiltshireDistrict,,325
2021,1968760,16/07/2021,"Kent,SouthLondonandEastSussex",TQ5015868494,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),,BromleyLondonBorough,,326
2021,1969464,18/07/2021,DevonandCornwall,SW6710538935,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),CornwallCounty,KerrierDistrict,,327
2021,1969884,19/07/2021,NorthEast,NZ4082856756,Yes,Category2(Significant),Category3(Minor),Category4(NoImpact),,SunderlandDistrict,,328
2021,1970594,20/07/2021,"EastAnglia(Essex,NorfolkandSuffolk)",TG2517207903,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),NorfolkCounty,SouthNorfolkDistrict,,329
2021,1978879,22/07/2021,Wessex,ST1495421865,Yes,Category2(Significant),Category3(Minor),Category3(Minor),SomersetCounty,TauntonDeaneDistrict,,330
2021,1972444,23/07/2021,CumbriaandLancashire,SD5158190705,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),CumbriaCounty,SouthLakelandDistrict,,331
2021,1972990,24/07/2021,DevonandCornwall,SY0188489691,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DevonCounty,EastDevonDistrict,,332
2021,1973025,24/07/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SO9042233471,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),GloucestershireCounty,TewkesburyDistrict,,333
2021,1973073,24/07/2021,"GreaterManchester,MerseysideandCheshire",SJ7779293473,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,TraffordDistrict,,334
2021,1974179,27/07/2021,Thames,SP8226315437,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),BuckinghamshireCounty,AylesburyValeDistrict,,335
2021,1974188,27/07/2021,Wessex,SY6768579702,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DorsetCounty,WeymouthandPortlandDistrict,,336
2021,1974996,28/07/2021,EastMidlands,SK4050355040,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DerbyshireCounty,AmberValleyDistrict,,337
2021,1975187,28/07/2021,SolentandSouthDowns,TQ7848308646,Yes,Category4(NoImpact),Category2(Significant),Category2(Significant),EastSussexCounty,HastingsDistrict,,338
2021,1975193,28/07/2021,EastAnglia(CambridgeshireandBedfordshire),SP6014436076,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),BuckinghamshireCounty,AylesburyValeDistrict,,339
2021,1975356,29/07/2021,NorthEast,NZ4486918389,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,,Stockton-On-Tees,340
2021,1975814,30/07/2021,Thames,SP6012723256,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),OxfordshireCounty,CherwellDistrict,,341
2021,1976633,01/08/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SJ8285645983,Yes,Category1(Major),Category4(NoImpact),Category4(NoImpact),StaffordshireCounty,Newcastle-under-LymeDistrict,,342
2021,1976725,01/08/2021,Yorkshire,TA0171130161,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,,EastRidingofYorkshire,343
2021,1976768,01/08/2021,Yorkshire,SE1880338927,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,BradfordDistrict,,344
2021,1976937,02/08/2021,Thames,TQ0003466643,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),SurreyCounty,RunnymedeDistrict,,345
2021,1976818,02/08/2021,CumbriaandLancashire,SD3815087110,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),CumbriaCounty,SouthLakelandDistrict,,346
2021,1976853,02/08/2021,Yorkshire,SK4272771169,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),DerbyshireCounty,NorthEastDerbyshireDistrict,,347
2021,1976910,02/08/2021,LincolnshireandNorthamptonshire,SP7393886155,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LeicestershireCounty,HarboroughDistrict,,348
2021,1977033,02/08/2021,EastAnglia(CambridgeshireandBedfordshire),TL2113369321,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),CambridgeshireCounty,HuntingdonshireDistrict,,349
2021,1977463,03/08/2021,Yorkshire,SE1940940870,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,LeedsDistrict,,350
2021,1977518,03/08/2021,HertfordshireandNorthLondon,TL0224823839,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),BedfordshireCounty,SouthBedfordshireDistrict,,351
